Model,Fold,Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
DenseNet201Model,1,0,5.0609283447265625,0.7924528121948242,2.041900157928467,0.8801369667053223
DenseNet201Model,1,1,0.6281005144119263,0.9391080737113952,0.6777300238609314,0.9041095972061156
DenseNet201Model,1,2,0.2272517383098602,0.9622641801834106,0.3539610207080841,0.965753436088562
DenseNet201Model,1,3,0.0756760016083717,0.9819896817207336,0.4197901487350464,0.9383561611175536
DenseNet201Model,1,4,0.3105605244636535,0.9562607407569884,0.2440903484821319,0.9691780805587769
DenseNet201Model,1,5,0.0733004659414291,0.9854202270507812,0.4404160380363464,0.9383561611175536
DenseNet201Model,1,6,0.0798907577991485,0.9862778782844543,0.2130457460880279,0.9794520735740662
DenseNet201Model,1,7,0.0238092355430126,0.9974271059036256,0.2794163227081299,0.965753436088562
DenseNet201Model,1,8,0.0151924388483166,0.9991423487663268,0.2424274832010269,0.9623287916183472
DenseNet201Model,1,9,0.0178884398192167,0.9982847571372986,0.2165814638137817,0.9691780805587769
DenseNet201Model,1,10,0.0171414762735366,0.9982847571372986,0.1847084909677505,0.9726027250289916
DenseNet201Model,1,11,0.0094831809401512,0.9974271059036256,0.2034477591514587,0.9726027250289916
DenseNet201Model,1,12,0.0054873805493116,0.9991423487663268,0.1935901939868927,0.9726027250289916
DenseNet201Model,1,13,0.005816888064146,0.9982847571372986,0.1926144063472747,0.9726027250289916
DenseNet201Model,1,14,0.00535269966349,0.9991423487663268,0.1930802464485168,0.9726027250289916
DenseNet201Model,1,15,0.0116777354851365,0.9982847571372986,0.1780422776937484,0.9691780805587769
DenseNet201Model,1,16,0.005961243994534,0.9974271059036256,0.1854622662067413,0.9726027250289916
DenseNet201Model,1,17,0.0092385057359933,0.9974271059036256,0.2112334370613098,0.9760273694992064
DenseNet201Model,1,18,0.0101727396249771,0.9991423487663268,0.1583624482154846,0.9726027250289916
DenseNet201Model,1,19,0.0074776001274585,0.9974271059036256,0.2066428065299987,0.9726027250289916
DenseNet201Model,1,20,0.0093524688854813,0.9982847571372986,0.2146751582622528,0.9691780805587769
DenseNet201Model,1,21,0.0229139029979705,0.9974271059036256,0.192416101694107,0.9691780805587769
DenseNet201Model,1,22,0.0163881201297044,0.9991423487663268,0.2267357259988784,0.9691780805587769
DenseNet201Model,1,23,0.0218350104987621,0.9991423487663268,0.1994378268718719,0.9760273694992064
DenseNet201Model,1,24,0.0203774105757474,0.9991423487663268,0.1928690969944,0.9760273694992064
DenseNet201Model,1,25,0.007511144503951,0.9991423487663268,0.2072672545909881,0.9691780805587769
DenseNet201Model,1,26,0.0224956069141626,0.9982847571372986,0.2530263066291809,0.9726027250289916
DenseNet201Model,1,27,0.0236757323145866,0.9982847571372986,0.2067592591047287,0.965753436088562
DenseNet201Model,1,28,0.0037096757441759,0.9982847571372986,0.1995427012443542,0.9691780805587769
DenseNet201Model,1,29,0.0096404161304235,0.9991423487663268,0.1986351013183593,0.9691780805587769
DenseNet201Model,1,30,0.0037106666713953,0.9991423487663268,0.2077016830444336,0.9726027250289916
DenseNet201Model,1,31,0.0035989345051348,0.9991423487663268,0.1937688589096069,0.9691780805587769
DenseNet201Model,1,32,0.0034380780998617,0.9991423487663268,0.1996259987354278,0.9691780805587769
DenseNet201Model,1,33,0.0031602277886122,0.9991423487663268,0.20020692050457,0.9691780805587769
DenseNet201Model,2,0,5.403143405914307,0.7624356746673584,0.5630329847335815,0.91780823469162
DenseNet201Model,2,1,0.4661427736282348,0.9365351796150208,0.2509208619594574,0.9554794430732728
DenseNet201Model,2,2,0.1432651430368423,0.9725557565689088,0.2297367006540298,0.952054798603058
DenseNet201Model,2,3,0.0563062094151973,0.9845626354217528,0.4780636131763458,0.9383561611175536
DenseNet201Model,2,4,0.0587889216840267,0.9811320900917052,0.3958335518836975,0.9452054500579834
DenseNet201Model,2,5,0.0217870082706213,0.9931389093399048,0.3192618489265442,0.965753436088562
DenseNet201Model,2,6,0.0120160710066556,0.995711863040924,0.353491723537445,0.9554794430732728
DenseNet201Model,2,7,0.0012377870734781,1.0,0.3690842390060425,0.9589040875434875
DenseNet201Model,2,8,0.0007471443968825,1.0,0.3492653965950012,0.965753436088562
DenseNet201Model,2,9,3.5682027373695746e-05,1.0,0.3363853991031647,0.9691780805587769
DenseNet201Model,2,10,1.666155549173709e-05,1.0,0.3346929550170898,0.9691780805587769
DenseNet201Model,2,11,1.4999727682152296e-05,1.0,0.3332928121089935,0.9691780805587769
DenseNet201Model,2,12,1.2631712706934197e-05,1.0,0.3332537412643432,0.9691780805587769
DenseNet201Model,2,13,1.2009079910058064e-05,1.0,0.3332768678665161,0.9691780805587769
DenseNet201Model,2,14,1.15248367364984e-05,1.0,0.3332115709781647,0.9691780805587769
DenseNet201Model,2,15,1.106532999983756e-05,1.0,0.33344566822052,0.9691780805587769
DenseNet201Model,2,16,1.0702860890887678e-05,1.0,0.3335994780063629,0.9691780805587769
DenseNet201Model,2,17,1.0215522706857882e-05,1.0,0.3331069052219391,0.9691780805587769
DenseNet201Model,3,0,4.8806681632995605,0.8078902363777161,2.46890640258789,0.818493127822876
DenseNet201Model,3,1,0.6489208340644836,0.927101194858551,1.237727403640747,0.9041095972061156
DenseNet201Model,3,2,0.2541567981243133,0.968267560005188,0.3934787213802337,0.9349315166473388
DenseNet201Model,3,3,0.4518508017063141,0.9562607407569884,0.5799800157546997,0.9349315166473388
DenseNet201Model,3,4,0.1754281967878341,0.97427099943161,0.2457909286022186,0.948630154132843
DenseNet201Model,3,5,0.0206166300922632,0.995711863040924,0.3014999032020569,0.952054798603058
DenseNet201Model,3,6,0.0323989912867546,0.994854211807251,0.3238699436187744,0.948630154132843
DenseNet201Model,3,7,0.019709350541234,0.9965694546699524,0.285489559173584,0.952054798603058
DenseNet201Model,3,8,0.0041564935818314,0.9991423487663268,0.3059524595737457,0.948630154132843
DenseNet201Model,3,9,0.0097171356901526,0.9982847571372986,0.3007186651229858,0.9554794430732728
DenseNet201Model,3,10,0.0041247773915529,0.9991423487663268,0.3039003908634186,0.9554794430732728
DenseNet201Model,3,11,0.0053614825010299,0.9991423487663268,0.3045025467872619,0.9554794430732728
DenseNet201Model,3,12,0.0051289428956806,0.9982847571372986,0.3124790489673614,0.948630154132843
DenseNet201Model,3,13,0.0049940799362957,0.9991423487663268,0.3071762323379516,0.9554794430732728
DenseNet201Model,3,14,0.0071736052632331,0.9991423487663268,0.3377242088317871,0.9554794430732728
DenseNet201Model,3,15,0.0172416567802429,0.9982847571372986,0.3124043047428131,0.948630154132843
DenseNet201Model,3,16,0.0126638151705265,0.9974271059036256,0.2797751724720001,0.9589040875434875
DenseNet201Model,3,17,0.0397439748048782,0.993996560573578,0.3850816190242767,0.948630154132843
DenseNet201Model,3,18,0.0213127601891756,0.9974271059036256,0.2762742638587951,0.965753436088562
DenseNet201Model,3,19,0.0276293084025383,0.9982847571372986,0.3342671394348144,0.9554794430732728
DenseNet201Model,4,0,6.327451705932617,0.793487548828125,4.077263355255127,0.800687313079834
DenseNet201Model,4,1,0.6169402003288269,0.947729229927063,0.3627121448516845,0.9518900513648988
DenseNet201Model,4,2,0.1503026485443115,0.9640102982521056,0.4134720861911773,0.931271493434906
DenseNet201Model,4,3,0.1057873293757438,0.9768637418746948,0.420507937669754,0.9518900513648988
DenseNet201Model,4,4,0.0540851391851902,0.9897172451019288,0.3068754971027374,0.9553264379501344
DenseNet201Model,4,5,0.0321455523371696,0.9940016865730286,0.3271241784095764,0.9587628841400146
DenseNet201Model,4,6,0.0051119038835167,0.9982861876487732,0.4814691841602325,0.9587628841400146
DenseNet201Model,4,7,0.2084749191999435,0.9674378633499146,0.8378618359565735,0.907216489315033
DenseNet201Model,4,8,0.0597353614866733,0.9888603091239928,0.6127064228057861,0.9553264379501344
DenseNet201Model,4,9,0.0530936457216739,0.9871465563774108,0.4928943812847137,0.9518900513648988
DenseNet201Model,4,10,0.0427986420691013,0.9940016865730286,0.5412824749946594,0.9553264379501344
DenseNet201Model,4,11,0.0329314246773719,0.9940016865730286,0.5947034358978271,0.945017158985138
DenseNet201Model,4,12,0.0807920768857002,0.9871465563774108,0.5280334949493408,0.9415807723999025
DenseNet201Model,4,13,0.0957886576652526,0.9845758080482484,0.5362375378608704,0.931271493434906
DenseNet201Model,4,14,0.0051313838921487,0.9982861876487732,0.757010817527771,0.9484536051750184
DenseNet201Model,4,15,0.0090611297637224,0.9974293112754822,0.6065724492073059,0.9518900513648988
DenseNet201Model,4,16,0.0388816967606544,0.9914309978485109,0.866744339466095,0.9553264379501344
DenseNet201Model,4,17,0.0508111789822578,0.9940016865730286,0.8345130681991577,0.945017158985138
DenseNet201Model,4,18,0.0224999021738767,0.9948586225509644,0.5845106840133667,0.9587628841400146
DenseNet201Model,4,19,0.0080611128360033,0.9982861876487732,0.5088648796081543,0.9553264379501344
DenseNet201Model,5,0,6.000487327575684,0.7694944143295288,0.5737798810005188,0.938144326210022
DenseNet201Model,5,1,0.4576229751110077,0.936589539051056,2.158863306045532,0.8728522062301636
DenseNet201Model,5,2,0.4144465029239654,0.9597257971763612,0.2825899720191955,0.9587628841400146
DenseNet201Model,5,3,0.0979991257190704,0.9802913665771484,0.1772405058145523,0.962199330329895
DenseNet201Model,5,4,0.0381140522658824,0.9888603091239928,0.1584977507591247,0.9725086092948914
DenseNet201Model,5,5,0.019435741007328,0.9974293112754822,0.1478450149297714,0.9725086092948914
DenseNet201Model,5,6,0.0295780152082443,0.9957154989242554,0.145207330584526,0.9725086092948914
DenseNet201Model,5,7,0.0317598469555377,0.9948586225509644,0.1322295516729354,0.969072163105011
DenseNet201Model,5,8,0.0091454004868865,0.9982861876487732,0.1311599761247635,0.9656357169151306
DenseNet201Model,5,9,0.012777118012309,0.9982861876487732,0.1185410097241401,0.9725086092948914
DenseNet201Model,5,10,0.0120485769584774,0.9982861876487732,0.1132800951600074,0.9725086092948914
DenseNet201Model,5,11,0.0161779187619686,0.9974293112754822,0.1836279034614563,0.969072163105011
